Dependent Variable,Treatment Effect,Standard Error,t-statistic,p-value,R-squared,Adjusted R-squared,N
log_actual_comment_count,0.07658734060390254,0.2935214136278921,0.2609259053957649,0.7941,0.002424748831509005,-0.0023030959607586166,637.0
log_avg_childcom_depth,0.012237607098379096,0.03496436956359151,0.3500022237244097,0.7263,0.05489390103262526,0.05041472520813539,637.0
log_unique_authors,0.09140620163095071,0.24587088303685017,0.3717650520547856,0.7101,0.0028880330541000143,-0.0018376160783448725,637.0
log_avg_word_count,0.13239151191158077,0.06561718773509204,2.0176346545979427,0.0436**,0.01727868863173132,0.012621241658422044,637.0
