Variable,N,Mean,SD,Min,p25,p50,p75,Max,Group
log_avg_word_count,215,4.169774658443729,0.3756291372780349,1.791759469228055,4.045005046683613,4.1708168307427655,4.34602838901351,5.236441962829949,Treatment
log_unique_authors,215,3.7214805012471897,1.4750586984379732,0.6931471805599453,2.8903717578961645,3.871201010907891,4.848047155656575,6.343880434126331,Treatment
log_avg_childcom_depth,215,1.0295898671753496,0.1845136884900018,0.6931471805599453,0.9181502545867573,0.998959888166882,1.12429153020781,1.74788334955487,Treatment
log_actual_comment_count,215,4.424664139448267,1.75641489367881,0.6931471805599453,3.5553480614894135,4.795790545596741,5.693681120997441,7.385851078125209,Treatment
log_avg_word_count,422,4.080126292526249,0.4228605624844206,1.791759469228055,3.897965596355108,4.072431494023345,4.2622978796776465,6.257667587882639,Control
log_unique_authors,422,3.601021235057874,1.3777280930925828,0.6931471805599453,2.78774487769389,4.007333185232471,4.624972813284271,6.234410725718371,Control
log_avg_childcom_depth,422,1.1418196288507716,0.23748933517947549,0.6931471805599453,0.9956971307354763,1.1449000928603867,1.287749398554011,2.5363541972346773,Control
log_actual_comment_count,422,4.271410232505365,1.683002635995917,0.6931471805599453,3.367295829986474,4.736198448394496,5.487772547505942,7.388327859577107,Control
