Variable,N,Mean,Std. Dev.,p25,p50,p75
sentiment_variance,637,0.2862255354521834,0.11442833889204392,0.263670643187755,0.3082307223366748,0.3455591806245662
log_sentiment_variance,637,0.247450052042341,0.09431557316026781,0.23402069467286601,0.26867563070330897,0.2968096743309407
avg_compound_score,637,0.050014634684181804,0.25619659998798583,-0.0695746478873239,0.0441783783783783,0.1512454545454545
log_avg_compound_score,637,0.007731966519032762,0.34123161069122343,-0.07211342953254332,0.04323033538113954,0.1408443603020211
log_avg_us_count,637,0.38393842604261536,0.2683550817906319,0.2311117209633866,0.3365228938994082,0.4906984993818808
log_log_avg_us_count,637,0.30867747627314013,0.17547321987967976,0.20791759935016746,0.2900713861915446,0.39924480164041076
log_avg_them_count,637,0.6464566930409615,0.31570169191852054,0.496726699386489,0.6425401494956795,0.7929925155296614
log_log_avg_them_count,637,0.48036797157730976,0.19315123475270346,0.403280523230287,0.49624391521527544,0.5838860203419252
