Variable,Treatment Effect,Standard Error,p-value,R-squared
avg_compound_score,0.03739733091457652,0.050047132622096854,0.4549,0.047019948870113515
sentiment_variance,-0.025918332204821173,0.020965920829354875,0.2164,0.09305003553645574
sentiment_polarization,-0.06944173438970969,0.10529043826033142,0.5096,0.10289015893874376
log_max_distance_ratio,0.10844298496018603,0.13572331554755718,0.4243,0.10451273490513491
log_avg_us_count,0.055503577469032145,0.04651663974315772,0.2328,0.11513874030798343
log_avg_them_count,0.08885788210742317,0.05912271957027122,0.1329,0.0945024705441152
