Variable,Treatment Effect,Standard Error,p-value,R-squared
avg_compound_score,0.031542302441799716,0.04647020431083754,0.4973,0.010872129953399812
sentiment_variance,-0.019570506074554597,0.019747987717245116,0.3217,0.005851053175867205
sentiment_polarization,-0.04629409258202317,0.10057033157581538,0.6453,0.0027628271507030844
log_max_distance_ratio,0.12106608911433278,0.12954251185974935,0.3500,0.009508573784456464
log_avg_us_count,0.0653045655618104,0.04644310744925727,0.1597,0.030857969997523327
log_avg_them_count,0.08874726244005504,0.05552853020538747,0.1100,0.023667081150148594
