Variable,Treatment Effect,Standard Error,p-value,R-squared
avg_compound_score,0.03893527604449161,0.050274185463166456,0.4387,0.047859079375479174
sentiment_variance,-0.02971071355187604,0.02112232101013737,0.1595,0.11862713942613101
sentiment_polarization,-0.10310195522393001,0.10329052778905794,0.3182,0.1804529176931312
log_max_distance_ratio,0.06081760723915598,0.13136565286451413,0.6434,0.19270023539005277
log_avg_us_count,0.0551986954927028,0.046740073170845546,0.2376,0.11516879680787451
log_avg_them_count,0.079846277663992,0.05952165639222609,0.1798,0.11347586226292117
