Variable,Treatment Effect,Standard Error,p-value,R-squared
avg_compound_score,0.04593975420760255,0.04778756937094638,0.3364,0.09365052643078986
sentiment_variance,-0.03668752795255886,0.017407692276897053,0.0351**,0.34477056034551556
sentiment_polarization,-0.1485908109972935,0.07154676108225815,0.0378**,0.5747498929507198
log_max_distance_ratio,0.007138206588182471,0.09657710875568316,0.9411,0.5540973252350828
log_avg_us_count,0.05724694956524968,0.047893293631124274,0.2320,0.11872508375037172
log_avg_them_count,0.07385729839233364,0.060066213312139176,0.2188,0.1353520871366236
