Dependent Variable,Treatment Effect,Standard Error,t-statistic,p-value,R-squared,Adjusted R-squared,N
log_actual_comment_count,0.03136112208149039,0.31102469297317553,0.10083161494896209,0.9197,0.08987211444901999,0.030416523935639428,637.0
log_avg_childcom_depth,0.030206437846804688,0.038726311961999,0.7799977926234076,0.4354,0.13788092732730906,0.08156159092155546,637.0
log_unique_authors,0.03608633198198239,0.2610842048803831,0.13821721616026333,0.8901,0.08220308491454775,0.022246502522030864,637.0
log_avg_word_count,0.12777795658844232,0.07168096593063708,1.7825925603749277,0.0747*,0.07044192255655868,0.009717023025077598,637.0
